number	id	name	slug	category	sports_count	scenarios_count	sports	scenarios	moq
0012	3MJMJH01	Custom All-Over Print Unisex Thickened Home Jumpsuit	all-over-print-unisex-thickened-home-jumpsuit	Home	41	13	AFL,Athletics,Badminton,Baseball,Basketball,Beach,Bowling,Boxing,Cheer,Cricket,CrossFit,Cycling,Dance,Dive,Esports,Fishing,Football,Golf,Gym,Hockey,Lacrosse,MMA,Martial Arts,Netball,Pilates,Rugby,Running,Skate,Skating,Ski,Snowboard,Soccer,Softball,Surf,Swimwear,Table Tennis,Tennis,Triathlon,Volleyball,Wrestling,Yoga	Corporate & Branding,Team & Club,Event & Festival,School & Education,Fundraiser & Charity,Retail & Fashion,Uniform & Workwear,Music & Merch,Sports League,Wedding & Party,Gift & Souvenir,Promotional Swag,Political Campaign	50
0013	3CDDAQ01	Custom All-Over Print Kids Short-Sleeve Dress	all-over-print-kids-short-sleeve-dress	Skirt	41	13	AFL,Athletics,Badminton,Baseball,Basketball,Beach,Bowling,Boxing,Cheer,Cricket,CrossFit,Cycling,Dance,Dive,Esports,Fishing,Football,Golf,Gym,Hockey,Lacrosse,MMA,Martial Arts,Netball,Pilates,Rugby,Running,Skate,Skating,Ski,Snowboard,Soccer,Softball,Surf,Swimwear,Table Tennis,Tennis,Triathlon,Volleyball,Wrestling,Yoga	Corporate & Branding,Team & Club,Event & Festival,School & Education,Fundraiser & Charity,Retail & Fashion,Uniform & Workwear,Music & Merch,Sports League,Wedding & Party,Gift & Souvenir,Promotional Swag,Political Campaign	50
0014	3WJMBX16	Custom All-Over Print Womens Tank Bodysuit	all-over-print-womens-tank-bodysuit	Sportswear	41	13	AFL,Athletics,Badminton,Baseball,Basketball,Beach,Bowling,Boxing,Cheer,Cricket,CrossFit,Cycling,Dance,Dive,Esports,Fishing,Football,Golf,Gym,Hockey,Lacrosse,MMA,Martial Arts,Netball,Pilates,Rugby,Running,Skate,Skating,Ski,Snowboard,Soccer,Softball,Surf,Swimwear,Table Tennis,Tennis,Triathlon,Volleyball,Wrestling,Yoga	Corporate & Branding,Team & Club,Event & Festival,School & Education,Fundraiser & Charity,Retail & Fashion,Uniform & Workwear,Music & Merch,Sports League,Wedding & Party,Gift & Souvenir,Promotional Swag,Political Campaign	50
0015	3KTXPL29	Custom All-Over Print Childrens Lapel Polo Shirt	all-over-print-childrens-lapel-polo-shirt	Polo Shirt	41	13	AFL,Athletics,Badminton,Baseball,Basketball,Beach,Bowling,Boxing,Cheer,Cricket,CrossFit,Cycling,Dance,Dive,Esports,Fishing,Football,Golf,Gym,Hockey,Lacrosse,MMA,Martial Arts,Netball,Pilates,Rugby,Running,Skate,Skating,Ski,Snowboard,Soccer,Softball,Surf,Swimwear,Table Tennis,Tennis,Triathlon,Volleyball,Wrestling,Yoga	Corporate & Branding,Team & Club,Event & Festival,School & Education,Fundraiser & Charity,Retail & Fashion,Uniform & Workwear,Music & Merch,Sports League,Wedding & Party,Gift & Souvenir,Promotional Swag,Political Campaign	50
0016	3AHGYD02	Custom All-Over Print Sports Square Towel	sports-square-towel	Home	41	13	AFL,Athletics,Badminton,Baseball,Basketball,Beach,Bowling,Boxing,Cheer,Cricket,CrossFit,Cycling,Dance,Dive,Esports,Fishing,Football,Golf,Gym,Hockey,Lacrosse,MMA,Martial Arts,Netball,Pilates,Rugby,Running,Skate,Skating,Ski,Snowboard,Soccer,Softball,Surf,Swimwear,Table Tennis,Tennis,Triathlon,Volleyball,Wrestling,Yoga	Corporate & Branding,Team & Club,Event & Festival,School & Education,Fundraiser & Charity,Retail & Fashion,Uniform & Workwear,Music & Merch,Sports League,Wedding & Party,Gift & Souvenir,Promotional Swag,Political Campaign	50
0017	2KBBMB01	Custom All-Over Print Baby Short-Sleeve Onesie Printed	baby-short-sleeve-onesie-usa-190gsm	Home	41	13	AFL,Athletics,Badminton,Baseball,Basketball,Beach,Bowling,Boxing,Cheer,Cricket,CrossFit,Cycling,Dance,Dive,Esports,Fishing,Football,Golf,Gym,Hockey,Lacrosse,MMA,Martial Arts,Netball,Pilates,Rugby,Running,Skate,Skating,Ski,Snowboard,Soccer,Softball,Surf,Swimwear,Table Tennis,Tennis,Triathlon,Volleyball,Wrestling,Yoga	Corporate & Branding,Team & Club,Event & Festival,School & Education,Fundraiser & Charity,Retail & Fashion,Uniform & Workwear,Music & Merch,Sports League,Wedding & Party,Gift & Souvenir,Promotional Swag,Political Campaign	50
0018	3KCSSY02	Custom All-Over Print Kids Baseball Jersey	all-over-print-kids-baseball-jersey	Sportswear	41	13	AFL,Athletics,Badminton,Baseball,Basketball,Beach,Bowling,Boxing,Cheer,Cricket,CrossFit,Cycling,Dance,Dive,Esports,Fishing,Football,Golf,Gym,Hockey,Lacrosse,MMA,Martial Arts,Netball,Pilates,Rugby,Running,Skate,Skating,Ski,Snowboard,Soccer,Softball,Surf,Swimwear,Table Tennis,Tennis,Triathlon,Volleyball,Wrestling,Yoga	Corporate & Branding,Team & Club,Event & Festival,School & Education,Fundraiser & Charity,Retail & Fashion,Uniform & Workwear,Music & Merch,Sports League,Wedding & Party,Gift & Souvenir,Promotional Swag,Political Campaign	50
0019	3MHZDM41	Custom All-Over Print Mens Half-Zip Pullover	all-over-print-mens-half-zip-pullover	Hoodie	41	13	AFL,Athletics,Badminton,Baseball,Basketball,Beach,Bowling,Boxing,Cheer,Cricket,CrossFit,Cycling,Dance,Dive,Esports,Fishing,Football,Golf,Gym,Hockey,Lacrosse,MMA,Martial Arts,Netball,Pilates,Rugby,Running,Skate,Skating,Ski,Snowboard,Soccer,Softball,Surf,Swimwear,Table Tennis,Tennis,Triathlon,Volleyball,Wrestling,Yoga	Corporate & Branding,Team & Club,Event & Festival,School & Education,Fundraiser & Charity,Retail & Fashion,Uniform & Workwear,Music & Merch,Sports League,Wedding & Party,Gift & Souvenir,Promotional Swag,Political Campaign	50
0020	3MPHTU08	Custom All-Over Print Mens Long-Sleeve T-Shirt With Dropped Shoulders	all-over-print-mens-long-sleeve-t-shirt-dropped-shoulders	Sportswear	41	13	AFL,Athletics,Badminton,Baseball,Basketball,Beach,Bowling,Boxing,Cheer,Cricket,CrossFit,Cycling,Dance,Dive,Esports,Fishing,Football,Golf,Gym,Hockey,Lacrosse,MMA,Martial Arts,Netball,Pilates,Rugby,Running,Skate,Skating,Ski,Snowboard,Soccer,Softball,Surf,Swimwear,Table Tennis,Tennis,Triathlon,Volleyball,Wrestling,Yoga	Corporate & Branding,Team & Club,Event & Festival,School & Education,Fundraiser & Charity,Retail & Fashion,Uniform & Workwear,Music & Merch,Sports League,Wedding & Party,Gift & Souvenir,Promotional Swag,Political Campaign	50
0021	2HKAWQ05	Custom All-Over Print Apron	all-over-print-apron	Home	41	13	AFL,Athletics,Badminton,Baseball,Basketball,Beach,Bowling,Boxing,Cheer,Cricket,CrossFit,Cycling,Dance,Dive,Esports,Fishing,Football,Golf,Gym,Hockey,Lacrosse,MMA,Martial Arts,Netball,Pilates,Rugby,Running,Skate,Skating,Ski,Snowboard,Soccer,Softball,Surf,Swimwear,Table Tennis,Tennis,Triathlon,Volleyball,Wrestling,Yoga	Corporate & Branding,Team & Club,Event & Festival,School & Education,Fundraiser & Charity,Retail & Fashion,Uniform & Workwear,Music & Merch,Sports League,Wedding & Party,Gift & Souvenir,Promotional Swag,Political Campaign	50
